Filing Name,Filing Date,Court District,Exchange,Ticker,Sector,Industry,MarketCap,sharesOutstanding,bookValue,fiftyTwoWeekLow,fiftyTwoWeekHigh,averageDailyVolume3Month,fiftyDayAverage,twoHundredDayAverage,Open,Close,High,Low,Volume
"New Focus, Inc.",3/12/01,N.D. California,NASDAQ,NUFO, Communications Equipment, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Amazon.com, Inc.",3/9/01,W.D. Washington,NASDAQ,AMZN, Retail (Catalog & Mail Order), Services,726161000000.0,484107008.0,57.25,1503.49,833.5,4938420.0,1374.8514,1133.6263,nan,nan,nan,nan,nan
"Nike, Inc.",3/9/01,D. Oregon,New York SE,NKE, Footwear, Consumer Cyclical,110892000000.0,1297869952.0,7.24,69.0,50.35,8735948.0,66.14941400000001,58.921738,nan,nan,nan,nan,nan
Oracle Corporation,3/9/01,N.D. California,NASDAQ,ORCL, Software & Programming, Technology,209050000000.0,4139599872.0,13.485,53.14,42.25,16673461.0,49.885296000000004,49.33558,nan,nan,nan,nan,nan
"Team Communications Group, Inc.",3/9/01,C.D. California,NASDAQ,TMTV, Motion Pictures, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Broadcom Corporation,3/5/01,C.D. California,NASDAQ,BRCM, Scientific & Technical Instr., Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Department 56, Inc.",3/5/01,D. Minnesota,New York SE,DFS, Personal & Household Products, Consumer Non-Cyclical,28174798848.0,354756992.0,30.425,81.93,57.5,2324988.0,78.36646999999999,68.96377,nan,nan,nan,nan,nan
"i2 Technologies, Inc.",3/2/01,N.D. Texas,NASDAQ,ITWO, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Globalstar Telecommunications Limited,2/28/01,S.D. New York,NASDAQ,GSTRF, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Intershop Communications AG,2/28/01,N.D. California,NASDAQ,ISHP, Computer Networks, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alliance Pharmaceutical Corporation,2/23/01,S.D. New York,NASDAQ,ALLP, Biotechnology & Drugs, Healthcare,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Xchange, Inc. (a/k/a Exchange Applications, Inc.)",2/21/01,D. Massachusetts,NASDAQ,EXAP, Computer Networks, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Emulex Corporation,2/20/01,C.D. California,NASDAQ,EMLX, Computer Peripherals, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Smart World Technologies, LLC",2/20/01,S.D. New York,Privately Traded,Privately Traded, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Stan Lee Media Inc.,2/20/01,C.D. California,NASDAQ,SLEEQ, Computer Services, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CommTouch Software,2/16/01,N.D. California,NASDAQ,CTCH, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nortel Networks Corporation (Nortel I & II),2/16/01,S.D. New York,New York SE,NT, Communications Equipment, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"NorthPoint Communications Group, Inc.",2/16/01,N.D. California,NASDAQ,NPNT, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Schering-Plough Corporation,2/16/01,D. New Jersey,New York SE,SGP, Biotechnology & Drugs, Healthcare,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Asche Transportation Services, Inc.",2/15/01,N.D. Illinois,NASDAQ,ASHE, Trucking, Transportation,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nice Systems Ltd.,2/14/01,D. New Jersey,NASDAQ,NICE, Electronic Instruments & Controls, Technology,5965560832.0,60502000.0,28.747,97.0,65.72,177222.0,91.41059,84.919785,nan,nan,nan,nan,nan
"Worldwide Xceed Group, Inc. (f/n/a Xceed, Inc.)",2/14/01,S.D. New York,NASDAQ,XCED, Computer Services, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"E.W. Blanch Holdings, Inc.",2/12/01,D. Minnesota,New York SE,EWB, Insurance (Life), Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"IBP, Inc.",2/12/01,D. South Dakota,New York SE,IBP, Food Processing, Consumer Non-Cyclical,2120456064.0,31862600.0,6.234,79.4,41.8,200069.0,69.632355,66.44275999999999,nan,nan,nan,nan,nan
"Comdisco, Inc.",2/7/01,N.D. Illinois,New York SE,CDO, Rental & Leasing, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Critical Path, Inc.",2/2/01,N.D. California,NASDAQ,CPTH, Business Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"En Pointe Technologies, Inc.",2/2/01,S.D. California,NASDAQ,ENPT, Computer Hardware, Technology,181755.0,33046400.0,-0.113,0.015,0.0,856.0,0.005970588000000001,0.005239131,nan,nan,nan,nan,nan
"U.S. Interactive, Inc.",2/1/01,E.D. Pennsylvania,NASDAQ,USITQ, Business Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Guess?, Inc.",1/30/01,C.D. California,New York SE,GES, Apparel/Accessories, Consumer Cyclical,1235756928.0,82274096.0,11.182,19.62,9.56,1312951.0,16.632647,16.185579999999998,nan,nan,nan,nan,nan
"QLT, Inc.",1/28/01,S.D. New York,NASDAQ,QLTI, Biotechnology & Drugs, Healthcare,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Silicon Storage Technology, Inc.",1/25/01,N.D. California,NASDAQ,SSTI, Semiconductors, Technology,183096416.0,9775570.0,1.254,21.45,9.33,134354.0,16.966764,14.763333,nan,nan,nan,nan,nan
"Ascendant Solutions, Inc.",1/23/01,N.D. Texas,NASDAQ,ASDS, Business Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Pre-Paid Legal Services, Inc.",1/22/01,W.D. Oklahoma,New York SE,PPD, Personal Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Marketing Services Group, Inc.",1/18/01,N.D. Alabama,NASDAQ,MSGI, Business Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Vlasic Foods International, Inc.",1/17/01,D. New Jersey,New York SE,VL, Food Processing, Consumer Non-Cyclical,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Hamilton Bancorp, Inc.",1/12/01,S.D. Florida,NASDAQ,HABK, Regional Banks, Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Intrenet, Inc.",1/11/01,S.D. Ohio,NASDAQ,INETE, Trucking, Transportation,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"VA Linux Systems, Inc.",1/11/01,S.D. New York,NASDAQ,LNUX, Computer Hardware, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Atchison Casting Corporation,1/8/01,D. Kansas,New York SE,FDY, Iron & Steel, Basic Materials,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"M&A West, Inc.",1/5/01,N.D. California,OTC-BB,MAWI, Misc. Financial Services, Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bridgestone Corporation [Common Stock and ADRs],1/4/01,M.D. Tennessee,NASDAQ,BRDCY, Tires, Consumer Cyclical,31952715776.0,757848000.0,14.2535,25.08,19.61,27508.0,23.675589000000002,22.934492000000002,nan,nan,nan,nan,nan
"New Era of Networks, Inc.",1/2/01,D. Colorado,NASDAQ,NEON, Software & Programming, Technology,35689908.0,58594500.0,0.185,1.8,0.46,238983.0,0.61970586,0.95528984,nan,nan,nan,nan,nan
"Network Associates, Inc.",12/29/00,N.D. California,NASDAQ,NETA, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Foundry Networks, Inc.",12/28/00,N.D. California,NASDAQ,FDRY, Communications Equipment, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Saxton Inc.,12/22/00,D. Nevada,NASDAQ,SXTN, Construction Services, Capital Goods,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Maxim Pharmaceuticals, Inc.",12/14/00,S.D. California,NASDAQ,MAXM, Biotechnology & Drugs, Healthcare,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Deutsche Telekom AG,12/13/00,S.D. New York,New York SE,DT, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Razorfish, Inc.",12/13/00,S.D. New York,NASDAQ,RAZF, Computer Services, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Gateway, Inc.",12/7/00,S.D. California,New York SE,GTW, Computer Hardware, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DaimlerChrysler AG and Daimler-Benz AG : Chrysler Corporation,11/28/00,D. Delaware,New York SE,DCX, Auto & Truck Manufacturers, Consumer Cyclical,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
First Union National Bank : Cyprus Funds (off-shore mutual fund),11/28/00,S.D. Florida,Open-end Fund,Open-end Fund, Investment Services, Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Hanger Orthopedic Group, Inc.",11/28/00,D. Maryland,New York SE,HGR, Medical Equipment & Supplies, Healthcare,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PolyMedica Corporation,11/27/00,D. Massachusetts,NASDAQ,PLMD, Medical Equipment & Supplies, Healthcare,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Turkcell Iletisim Hizmetler, A.S.",11/22/00,S.D. New York,New York SE,TKC, Communications Services, Services,8813942784.0,2224460032.0,5.125,11.29,7.79,378562.0,10.197353,9.542102,nan,nan,nan,nan,nan
Twinlab Corporation,11/22/00,E.D. New York,NASDAQ,TWLB, Retail (Drugs), Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Advest, Inc. : Massachusetts Industrial Finance Agency Revenue Bonds, Bradford College Issue, Series 1998",11/21/00,D. Massachusetts,Privately Traded,Privately Traded, Investment Services, Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"PacifiCare Health Systems, Inc.",11/21/00,C.D. California,NASDAQ,PHSY, Insurance (Accident & Health), Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
