Filing Name,Filing Date,Court District,Exchange,Ticker,Sector,Industry,MarketCap,sharesOutstanding,bookValue,fiftyTwoWeekLow,fiftyTwoWeekHigh,averageDailyVolume3Month,fiftyDayAverage,twoHundredDayAverage,Open,Close,High,Low,Volume
Bioverativ Inc.,2/15/18,D. Massachusetts,NASDAQ,BIVV, Biotechnology & Drugs, Healthcare,11335382016.0,108224000.0,8.295,104.75,48.14,2179806.0,90.95735,64.163475,103.56,103.54,103.92,103.32,1347197.0
Key Technology Inc,2/15/18,E.D. Washington,NASDAQ,KTEC, Constr. & Agric. Machinery, Capital Goods,172222000.0,6464790.0,10.367,28.26,11.08,61554.0,23.529705,18.592464,26.9,26.73,26.9,26.66,9363.0
"Obalon Therapeutics, Inc.",2/14/18,S.D. California,NASDAQ,OBLN, Medical Equipment & Supplies, Healthcare,72732304.0,17441800.0,2.505,13.18,3.4,249914.0,5.057353,7.787173700000001,4.15,4.15,4.22,4.08,45185.0
"Ohr Pharmaceutical, Inc.",2/14/18,S.D. New York,NASDAQ,OHRP, Biotechnology & Drugs, Healthcare,14229533.0,56466400.0,0.349,2.18,0.24,3245575.0,0.3214706,0.7604348000000001,0.32,0.31,0.32,0.31,1440291.0
Wells Fargo & Company,2/14/18,S.D. New York,New York SE,WTC, Money Center Banks, Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Cascadian Therapeutics, Inc.",2/13/18,D. Delaware,NASDAQ,CASC, Biotechnology & Drugs, Healthcare,528355008.0,52835500.0,2.465,10.21,3.18,934162.0,7.193529600000001,4.752464,9.98,10.0,10.0,9.97,645422.0
Juno Therapeutics Inc,2/13/18,W.D. Washington,NASDAQ,JUNO, Biotechnology & Drugs, Healthcare,9985444864.0,115332000.0,10.117,86.76,19.62,4508570.0,76.67853000000001,53.02376999999999,85.76,86.08,86.2,85.75,2153155.0
Quantum Corporation,2/13/18,N.D. California,New York SE,QTM, Computer Storage Devices, Technology,133494512.0,34673900.0,-3.5869999999999997,9.2,0.8,405024.0,5.3985294999999995,5.4931884,3.84,4.01,4.05,3.74,490929.0
NQ Mobile,2/10/18,E.D. Texas,New York SE,NQ, Software & Programming, Technology,249031856.0,107806000.0,2.9539999999999997,4.68,1.58,1271154.0,3.0911765,3.5844202000000003,nan,nan,nan,nan,nan
Aflac Incorporated,2/9/18,M.D. Georgia,New York SE,AFL, Insurance (Accident & Health), Financial,34973052928.0,390455008.0,62.402,91.73,70.64,2231148.0,88.01088,85.103264,84.29,84.77,85.24,82.82,2616761.0
Bristol-Myers Squibb Company,2/9/18,N.D. California,New York SE,BMY, Major Drugs, Healthcare,110934000000.0,1632579968.0,7.19,70.05,51.56,7305477.0,63.59705699999999,62.152824,63.3,62.7,63.32,60.57,11158002.0
Bill Barrett Corporation,2/8/18,D. Colorado,New York SE,BBG, Oil & Gas Operations, Energy,581597184.0,110360000.0,6.877000000000001,6.93,2.66,2814725.0,5.2114706,4.6597824,5.03,4.89,5.13,4.86,4232425.0
Johnson & Johnson,2/8/18,D. New Jersey,New York SE,JNJ, Major Drugs, Healthcare,354674000000.0,2686520064.0,27.553,148.32,120.95,7523167.0,138.255,137.15616,130.91,126.36,131.25,126.11,11680221.0
"Kindred Healthcare, Inc.",2/8/18,D. Delaware,New York SE,KND, Healthcare Facilities, Healthcare,846066048.0,91466600.0,3.495,11.9,5.5,1970719.0,9.210294000000001,7.8731884999999995,9.05,9.0,9.08,9.0,2719233.0
"Super Micro Computer, Inc.",2/8/18,N.D. California,NASDAQ,SMCI, Computer Hardware, Technology,900820480.0,48693000.0,16.393,27.9,17.7,492538.0,20.954705999999998,22.366377,19.85,18.6,20.6,18.6,560832.0
Synergy Pharmaceuticals Inc,2/8/18,E.D. New York,NASDAQ,SGYP, Biotechnology & Drugs, Healthcare,468653984.0,246660000.0,-0.006999999999999999,5.97,1.68,6522688.0,2.1688235000000002,2.5175362,2.02,1.89,2.09,1.89,5944622.0
BitConnect : Initial Coin Offering,2/7/18,M.D. Florida,M.D. Florida,M.D. Florida,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Funko, Inc.",2/7/18,W.D. Washington,NASDAQ,FNKO, Apparel/Accessories, Consumer Cyclical,353172416.0,23337700.0,692.477,19.93,5.81,479996.0,7.125294,7.5660257,7.24,7.32,7.4,7.24,124836.0
"Advance Auto Parts, Inc.",2/6/18,D. Delaware,New York SE,AAP, Retail & Repair (Automotive), Services,8591394816.0,73860000.0,43.738,158.69,78.81,1489469.0,113.71706,99.19637,108.28,112.2,113.11,106.74,1240784.0
"Bellicum Pharmaceuticals, Inc.",2/6/18,S.D. Texas,NASDAQ,BLCM, Biotechnology & Drugs, Healthcare,233784768.0,33255300.0,3.1010000000000004,15.55,5.02,785112.0,7.328235,9.21663,5.55,5.72,5.85,5.42,861820.0
First BancTrust Corporation,2/6/18,D. Delaware,OTC-BB,FIRT, Regional Banks, Financial,67420616.0,2054880.0,21.791,35.6,0.0,7319.0,33.973824,25.795652,33.6,33.05,33.6,33.05,2978.0
"MetLife, Inc.",2/5/18,E.D. New York,New York SE,MET, Insurance (Life), Financial,49511211008.0,1043000000.0,55.54600000000001,55.91,43.38,6718327.0,49.715588000000004,50.719204,47.0,45.89,47.46,45.55,12512992.0
"Stanley Furniture Company, Inc.",2/5/18,M.D. North Carolina,NASDAQ,STLY, Furniture & Fixtures, Consumer Cyclical,10105811.0,15083300.0,1.291,1.39,0.55,62777.0,0.7252940999999999,0.96847826,0.65,0.6,0.66,0.6,25317.0
"Paragon Coin, Inc. : Initial Coin Offering",1/30/18,N.D. California,N.D. California,N.D. California,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chicago Bridge & Iron Company N.V.,1/29/18,S.D. Texas,New York SE,CBI, Construction Services, Capital Goods,1836698112.0,101419000.0,11.003,34.61,9.55,3621056.0,19.077645999999998,16.268116,21.0,21.05,21.87,20.91,7978313.0
Ballard Power Systems Inc.,1/27/18,C.D. California,NASDAQ,BLDP, Alternative Energy, Energy,615804288.0,177176000.0,0.6829999999999999,5.94,1.9,2094727.0,3.6320589,4.201014499999999,nan,nan,nan,nan,nan
Civeo Corporation,1/26/18,S.D. Texas,New York SE,CVEO, Business Services, Services,494626208.0,132253000.0,3.638,3.81,1.57,976927.0,3.35,2.5322464,3.67,3.58,3.67,3.54,544661.0
"Snyder's-Lance, Inc.",1/25/18,W.D. North Carolina,NASDAQ,LNCE, Food Processing, Consumer Non-Cyclical,4906397184.0,98304896.0,18.67,50.67,31.03,1353901.0,50.008236,41.650290000000005,50.18,50.11,50.2,50.05,543442.0
Southcross Energy Partners LP,1/22/18,N.D. Texas,New York SE,SXE, Natural Gas Utilities, Utilities,142408528.0,48614200.0,6.431,4.74,1.5,162917.0,1.9579412,2.0164492,2.04,2.1,2.13,2.04,214529.0
"Aerohive Networks, Inc.",1/19/18,N.D. California,New York SE,HIVE, Communications Equipment, Technology,224578144.0,53598600.0,0.408,6.5,3.02,589804.0,4.4941177,4.429493,4.06,4.17,4.24,4.06,623903.0
"Almost Family, Inc.",1/18/18,W.D. Kentucky,NASDAQ,AFAM, Personal Services, Services,819907712.0,13991600.0,33.419000000000004,66.15,40.15,192232.0,57.79411700000001,53.10906,59.65,57.8,59.8,57.7,158519.0
General Electric Company,1/18/18,D. Connecticut,New York SE,GE, Misc. Capital Goods, Capital Goods,125658000000.0,8672079872.0,7.4110000000000005,30.54,14.23,84550969.0,16.176470000000002,20.24971,17.4,16.77,17.48,16.76,172263372.0
"Sucampo Pharmaceuticals, Inc.",1/18/18,D. Maryland,NASDAQ,SCMP, Biotechnology & Drugs, Healthcare,847544384.0,47085800.0,0.8540000000000001,18.75,9.3,3094647.0,18.046667000000003,13.392060999999998,18.1,17.95,18.12,17.95,4366239.0
Vodafone Group Public Limited Company : American Depositary Shares,1/18/18,S.D. New York,NASDAQ,VOD, Communications Equipment, Technology,76924715008.0,26622099456.0,30.1,32.75,24.97,3454872.0,30.635588000000002,29.845361999999998,31.56,31.58,31.82,31.48,6603568.0
Xunlei Limited : American Depository Shares,1/18/18,S.D. New York,NASDAQ,XNET, Software & Programming, Technology,899645184.0,66541800.0,5.672999999999999,27.0,3.11,8102695.0,15.394706,10.610289999999999,17.0,16.44,17.33,16.4,5492826.0
"Yelp, Inc.",1/18/18,N.D. California,New York SE,YELP, Personal Services, Services,3666215936.0,82889800.0,13.206,48.4,26.93,1507645.0,43.015293,43.573624,43.88,42.99,43.98,42.84,672188.0
Tesaro Inc.,1/17/18,D. Massachusetts,NASDAQ,TSRO, Biotechnology & Drugs, Healthcare,3303156736.0,54381900.0,7.492999999999999,189.97,55.02,1005529.0,65.33029,95.69413,66.27,61.86,66.27,61.68,2198371.0
"Advanced Micro Devices, Inc.",1/16/18,N.D. California,NASDAQ,AMD, Semiconductors, Technology,11645123584.0,964798976.0,0.633,15.65,9.7,53512900.0,12.212059,12.078333,12.05,11.91,12.2,11.8,42686623.0
"Aetna, Inc.",1/16/18,D. Connecticut,New York SE,AET, Insurance (Accident & Health), Financial,57394847744.0,326943008.0,47.674,194.4,124.84,3340829.0,183.38765,170.82913,184.44,184.64,185.39,184.17,2335205.0
"Entellus Medical, Inc.",1/16/18,D. Minnesota,NASDAQ,ENTL, Medical Equipment & Supplies, Healthcare,617476800.0,25728200.0,4.8839999999999995,25.578000000000003,11.47,362966.0,24.071177,20.028913,24.18,24.07,24.23,24.06,216202.0
"AMC Entertainment Holdings, Inc.",1/12/18,S.D. New York,New York SE,AMC, Motion Pictures, Services,1915828224.0,53184900.0,18.684,32.1,10.8,2458804.0,13.748529000000001,14.072102,14.15,14.45,14.7,13.95,4657391.0
"Ignyta, Inc.",1/12/18,S.D. California,NASDAQ,RXDX, Biotechnology & Drugs, Healthcare,1821523584.0,67589000.0,1.564,27.1,5.925,2735109.0,26.9375,17.305971,27.0,26.95,27.0,26.95,1196766.0
Aradigm Corporation,1/11/18,N.D. California,NASDAQ,ARDM, Medical Equipment & Supplies, Healthcare,19024474.0,14522400.0,-0.634,7.35,0.78,432169.0,2.0432353,3.1135507000000002,nan,nan,nan,nan,nan
"AZZ, Inc.",1/11/18,N.D. Texas,New York SE,AZZ, Constr. & Agric. Machinery, Capital Goods,1095566848.0,25961300.0,21.005,61.55,40.9,152612.0,45.252646999999996,47.33,47.45,47.15,47.45,46.8,284979.0
Intel Corporation,1/10/18,C.D. California,NASDAQ,INTC, Semiconductors, Technology,223376000000.0,4680000000.0,14.725999999999999,50.85,33.23,33510183.0,45.46353,42.027245,43.33,42.5,43.6,42.44,45734951.0
"Barracuda Networks, Inc.",1/9/18,N.D. California,New York SE,CUDA, Communications Equipment, Technology,nan,nan,nan,nan,nan,nan,nan,nan,27.44,27.45,27.47,27.42,1372229.0
"GoPro, Inc.",1/9/18,N.D. California,NASDAQ,GPRO, Personal & Household Products, Consumer Non-Cyclical,817174144.0,110220000.0,2.18,11.89,5.04,4973609.0,5.843529,8.434275999999999,6.25,6.17,6.34,6.07,15730776.0
"YUME, Inc.",1/7/18,N.D. California,New York SE,YUME, Advertising, Services,129300568.0,34946100.0,1.9869999999999999,6.06,3.35,292037.0,4.3195,4.292903400000001,nan,nan,nan,nan,nan
"Amplify Snack Brands, Inc.",1/5/18,W.D. Texas,New York SE,BETR, Food Processing, Consumer Non-Cyclical,905623168.0,75468600.0,1.186,12.32,4.78,2191408.0,12.061111,7.98959,12.25,12.14,12.25,12.06,892168.0
"Buffalo Wild Wings, Inc.",1/5/18,D. Minnesota,NASDAQ,BWLD, Restaurants, Services,2437825792.0,15532500.0,16.980999999999998,165.7,95.0,868913.0,156.8038,128.62488000000002,157.0,156.75,157.0,156.5,628209.0
Dynegy Inc.,1/4/18,S.D. Texas,New York SE,DYN, Electric Utilities, Utilities,1609392768.0,131379000.0,12.095,12.84,5.84,3929700.0,12.081764999999999,10.886884,11.89,11.78,12.23,11.78,4066573.0
Stone Energy Corporation,1/4/18,D. Delaware,New York SE,SGY, Oil & Gas - Integrated, Energy,652970624.0,19999100.0,14.539000000000001,41.81818,16.5,185208.0,34.398823,29.642899,31.93,32.14,32.21,31.39,203933.0
Acuity Brands Inc.,1/3/18,D. Delaware,New York SE,AYI, Electronic Instruments & Controls, Technology,6119304704.0,41752900.0,41.196000000000005,221.28,141.77,768708.0,157.35265,167.12913999999998,179.64,177.64,179.64,176.13,467924.0
"Cavium, Inc.",1/2/18,N.D. California,NASDAQ,CAVM, Semiconductors, Technology,6185916928.0,69731904.0,10.940999999999999,90.83,56.96,1258151.0,87.636765,76.12297,84.1,85.58,86.26,84.1,1131521.0
"Ekso Bionics Holdings, Inc.",1/2/18,E.D. New York,NASDAQ,EKSO, Medical Equipment & Supplies, Healthcare,95846240.0,59903900.0,0.495,4.77,0.99,1062843.0,1.6205882,1.6530797,2.08,2.05,2.13,1.75,2878877.0
General Cable Corporation,1/2/18,D. Delaware,New York SE,BGC, Constr. - Supplies & Fixtures, Capital Goods,1511111552.0,50623500.0,2.415,30.18,14.95,2265270.0,29.594117999999998,23.653260999999997,29.65,29.6,29.7,29.5,1679192.0
Repros Therapeutics Inc.,12/29/17,S.D. Texas,NASDAQ,RPRX, Biotechnology & Drugs, Healthcare,26505670.0,39560700.0,-0.033,1.32,0.26,688318.0,0.66603464,0.48515969999999997,0.63,0.66,0.67,0.63,1136083.0
Capitala Finance Corp.,12/28/17,C.D. California,NASDAQ,CPTA, Other (Mutual Fund), Financial,114105336.0,15936500.0,14.206,14.65,7.111000000000001,129246.0,7.553382400000001,8.2598915,7.35,7.3,7.4,7.27,314710.0
Giga Watt Inc. : Initial Coin Offering,12/28/17,E.D. Washington,E.D. Washington,E.D. Washington, Misc. Financial Services, Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Bonanza Creek Energy, Inc.",12/27/17,D. Delaware,New York SE,BCEI, Oil & Gas Operations, Energy,593151488.0,20453500.0,33.885,213.13301,23.33,299898.0,27.558528999999997,29.521884999999997,30.45,29.98,30.9,29.9,84026.0
"Kobe Steel, Ltd. : American Depositary Receipts",12/26/17,S.D. New York,OTC-BB,KBSTY, Iron & Steel, Basic Materials,4127333376.0,362251008.0,9.6475,6.27,3.5,5543.0,5.167059,5.088768,4.47,4.47,4.47,4.47,442.0
"Bazaarvoice, Inc.",12/22/17,W.D. Texas,NASDAQ,BV, Software & Programming, Technology,473397664.0,86072304.0,2.271,5.5,3.8,1920195.0,5.4926314000000005,5.035118,5.45,5.45,5.5,5.45,2061724.0
Credit Suisse Group AG : American Depositary Receipts,12/22/17,S.D. New York,New York SE,CS, Money Center Banks, Financial,48175915008.0,2555059968.0,17.498,19.98,13.28,3224853.0,18.707354000000002,16.711085999999998,17.95,17.96,18.01,17.92,1626904.0
ATBCOIN LLC : Initial Coin Offering,12/21/17,S.D. New York,S.D. New York,S.D. New York, Misc. Financial Services, Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Philip Morris International Inc.,12/21/17,D. New Jersey,New York SE,PM, Tobacco, Consumer Non-Cyclical,164813000000.0,1553229952.0,-7.781000000000001,123.55,96.66,5161575.0,104.76059000000001,108.50818999999998,104.5,104.78,105.31,104.47,3830988.0
The Crypto Company,12/21/17,C.D. California,OTC-BB,CRCW, Computer Services, Technology,1056014976.0,21120300.0,0.183,642.0,0.0,2910.0,575.0,105.71793000000001,nan,nan,nan,nan,nan
JA Solar Holdings Co. Ltd. : American Depositary Shares,12/19/17,S.D. New York,NASDAQ,JASO, Semiconductors, Technology,346385536.0,46872200.0,22.634,8.48,4.7,859414.0,7.4670587,7.345217,7.49,7.43,7.49,7.39,386746.0
"Monkey Capital, LLC : Initial Coin Offering",12/19/17,S.D. Florida,S.D. Florida,S.D. Florida,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Deltic Timber Corp.,12/18/17,D. Delaware,New York SE,DEL, Forestry & Wood Products, Basic Materials,1136999296.0,12189100.0,20.954,100.35,65.65,225787.0,93.74906,88.06956,91.4,90.94,91.66,90.62,190037.0
Time Inc.,12/18/17,S.D. New York,New York SE,TIME, Printing & Publishing, Services,1843018112.0,99622600.0,13.844000000000001,19.65,9.9,1928386.0,18.494738,14.979268,18.55,18.55,18.6,18.5,2115841.0
"Aqua Metals, Inc.",12/15/17,N.D. California,NASDAQ,AQMS, Waste Management Services, Services,71637280.0,27552800.0,2.536,22.75,1.42,940941.0,2.112647,4.257029,1.98,1.99,2.06,1.94,523147.0
"Liberty Tax, Inc.",12/15/17,E.D. New York,NASDAQ,TAX, Personal Services, Services,118696232.0,12682600.0,7.63,15.8,8.35,66451.0,10.57,12.396522000000001,10.85,10.8,11.0,10.7,153894.0
"Bay Bancorp, Inc.",12/14/17,D. Maryland,NASDAQ,BYBK, Regional Banks, Financial,138260912.0,10717900.0,6.7379999999999995,13.1,6.75,10346.0,12.574411,11.033189,12.4,12.25,12.45,12.25,3938.0
"Exactech, Inc.",12/14/17,N.D. Florida,NASDAQ,EXAC, Medical Equipment & Supplies, Healthcare,710377088.0,14423900.0,17.424,50.95,23.98,167402.0,49.79600000000001,41.04295,50.0,50.1,50.2,50.0,209572.0
"Centra Tech, Inc. : Initial Coin Offering",12/13/17,S.D. Florida,S.D. Florida,S.D. Florida,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Impax Laboratories, Inc.",12/12/17,N.D. California,NASDAQ,IPXL, Major Drugs, Healthcare,1457694208.0,71807600.0,6.7010000000000005,25.7,7.75,928162.0,19.533823,19.093767,16.7,17.85,18.25,16.7,1067855.0
MGC Diagnostics Corporation,12/12/17,D. Minnesota,NASDAQ,MGCD, Medical Equipment & Supplies, Healthcare,48351548.0,4383640.0,3.306,11.2,6.51,89065.0,11.03,9.099905,11.0,11.0,11.01,10.99,79843.0
Qudian Inc. : American Depositary Shares,12/12/17,S.D. New York,New York SE,QD, Computer Services, Technology,4670221824.0,330051008.0,-3.866,35.45,11.33,4524774.0,13.304706,16.733976000000002,14.27,13.19,14.87,13.0,6356582.0
U.S. Energy Corp.,12/11/17,D. Colorado,NASDAQ,USEG, Oil & Gas Operations, Energy,15579697.0,11802800.0,0.46399999999999997,1.96,0.6,103261.0,1.4941176,1.1416667,1.26,1.21,1.28,1.19,39679.0
"CalAtlantic Group, Inc.",12/7/17,E.D. Virginia,New York SE,CAA, Real Estate Operations, Services,nan,nan,nan,nan,nan,nan,nan,nan,54.32,54.98,55.43,54.27,1375612.0
"OSI Systems, Inc.",12/7/17,C.D. California,NASDAQ,OSIS, Electronic Instruments & Controls, Technology,1218002432.0,19019400.0,27.930999999999997,96.64,50.5,625398.0,64.27971,78.54796999999999,65.2,64.13,66.0,62.65,2938547.0
"PayPal Holdings, Inc.",12/6/17,N.D. California,NASDAQ,PYPL, Business Services, Services,95640756224.0,1200160000.0,13.328,86.32,41.74,10194074.0,79.545,71.18571999999999,70.89,73.14,73.2,70.83,9331407.0
"NewStar Financial, Inc.",12/4/17,D. Massachusetts,NASDAQ,NEWS, Misc. Financial Services, Financial,nan,nan,nan,nan,nan,nan,nan,nan,12.0,11.79,12.0,11.75,225457.0
"INC Research Holdings, Inc.",12/1/17,S.D. New York,NASDAQ,INCR, Business Services, Services,4225972480.0,104345000.0,29.038,61.1,33.6,1405807.0,40.5,49.63476,38.0,37.85,38.25,36.6,1387619.0
Capella Education Company,11/30/17,D. Minnesota,NASDAQ,CPLA, Schools, Services,935715904.0,11623800.0,19.582,99.25,65.15,96117.0,79.88382,75.40275600000001,85.0,85.3,85.8,83.5,153962.0
Paragon Commercial Corporation,11/30/17,E.D. North Carolina,NASDAQ,PBNC, Regional Banks, Financial,293936032.0,5460450.0,27.299,59.95,49.011,9413.0,54.77905,55.27344,58.78,57.26,59.06,57.26,8515.0
Katanga Mining Limited,11/29/17,D. New Jersey,OTC-BB,KATFF, Metal Mining, Basic Materials,2948444672.0,1907379968.0,0.401,2.25,0.2,358979.0,1.6038235,1.085942,0.95,0.94,1.0,0.92,362299.0
"USAmeriBancorp, Inc.",11/29/17,M.D. Florida,OTC-BB,USAB, Regional Banks, Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"RYB Education, Inc. : American Depository Shares",11/27/17,S.D. New York,New York SE,RYB, Schools, Services,551778176.0,28663800.0,4.357,31.8,15.5,1152379.0,18.373823,21.67233,17.82,18.0,18.7,17.61,6401970.0
Alkermes plc,11/22/17,S.D. New York,NASDAQ,ALKS, Biotechnology & Drugs, Healthcare,9150038016.0,156144000.0,7.81,71.22,46.43,1071267.0,58.10470600000001,52.875942,49.56,50.14,50.3,49.38,454204.0
"OvaScience, Inc.",11/22/17,D. Massachusetts,NASDAQ,OVAS, Biotechnology & Drugs, Healthcare,34630960.0,35705700.0,2.025,2.05,0.9009999999999999,745796.0,1.0508823,1.3342391000000002,1.38,1.36,1.4,1.35,280359.0
Triangle Capital Corporation,11/21/17,E.D. North Carolina,New York SE,TCAP, Investment Services, Financial,527535840.0,47740800.0,13.204,20.25,8.91,559037.0,10.511471,11.577319000000001,9.7,9.63,9.73,9.62,443944.0
Willis Towers Watson plc,11/21/17,E.D. Virginia,NASDAQ,WLTW, Insurance (Miscellaneous), Financial,21134235648.0,132122000.0,76.641,165.0,125.66,649266.0,156.9597,155.48529,160.66,159.8,160.66,159.71,852879.0
Array Biopharma Inc.,11/20/17,D. Colorado,NASDAQ,ARRY, Biotechnology & Drugs, Healthcare,3768611328.0,207636992.0,1.167,18.3,6.73,4013308.0,15.336764000000002,12.033695,11.38,11.28,11.46,11.25,1694517.0
Inventure Foods Incorporated,11/20/17,D. Arizona,NASDAQ,SNAK, Food Processing, Consumer Non-Cyclical,nan,nan,nan,nan,nan,nan,nan,nan,3.99,3.99,3.99,3.98,75765.0
"Planet Payment, Inc.",11/20/17,E.D. New York,NASDAQ,PLPM, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,4.48,4.49,4.49,4.48,691547.0
"Tivity Health, Inc.",11/20/17,M.D. Tennessee,NASDAQ,TVTY, Recreational Activities, Services,1644101376.0,39616900.0,6.642,48.5,27.25,436990.0,38.05,38.016666,34.8,34.95,35.05,34.4,493100.0
"Acorda Therapeutics, Inc.",11/17/17,S.D. New York,NASDAQ,ACOR, Biotechnology & Drugs, Healthcare,1217764480.0,46747200.0,11.245999999999999,33.0,13.6,665819.0,25.491177,23.76471,17.1,17.8,18.0,17.0,1030693.0
Gigamon Inc.,11/17/17,N.D. California,New York SE,GIMO, Computer Networks, Technology,nan,nan,nan,nan,nan,nan,nan,nan,38.55,38.6,38.75,38.5,390031.0
"Ocera Therapeutics, Inc.",11/17/17,N.D. California,NASDAQ,OCRX, Biotechnology & Drugs, Healthcare,nan,nan,nan,nan,nan,nan,nan,nan,1.73,1.77,1.77,1.73,203948.0
"Broadsoft, Inc.",11/16/17,D. Maryland,NASDAQ,BSFT, Software & Programming, Technology,1744502400.0,31776000.0,11.269,55.05,33.85,881928.0,54.884003,52.463409999999996,54.6,54.55,54.68,54.5,2385632.0
"Omega Healthcare Investors, Inc.",11/16/17,S.D. New York,New York SE,OHI, Investment Services, Financial,5419309568.0,198308992.0,17.927,35.14,24.9,2606206.0,26.517059999999997,29.045941999999997,27.23,27.22,27.35,26.84,5563282.0
"Meridian Bioscience, Inc.",11/15/17,S.D. Ohio,NASDAQ,VIVO, Biotechnology & Drugs, Healthcare,594423168.0,42307700.0,4.086,16.45,12.6,319267.0,14.976470999999998,14.525,14.75,14.65,14.85,14.6,148784.0
Endo International plc,11/14/17,E.D. Pennsylvania,NASDAQ,ENDP, Major Drugs, Healthcare,1531927168.0,223312992.0,3.426,14.45,5.77,5060132.0,7.131765,7.712826299999999,6.69,6.99,7.06,6.69,5906752.0
"Dynamic Ledger Solutions, Inc. : Initial Coin Offering",11/13/17,N.D. California,N.D. California,N.D. California,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Silver Spring Networks, Inc.",11/9/17,N.D. California,New York SE,SSNI, Computer Networks, Technology,880350528.0,54142100.0,-0.72,16.26,9.68,847215.0,16.26,15.249332999999998,16.1,16.13,16.13,16.09,428065.0
Cheetah Mobile Inc.,11/8/17,C.D. California,New York SE,CMCM, Software & Programming, Technology,1987782784.0,138424992.0,3.736,18.18,7.54,1407200.0,14.741765,11.263116,9.2,11.4,11.48,9.17,6639729.0
"Ruby Tuesday, Inc.",11/8/17,E.D. Tennessee,New York SE,RT, Restaurants, Services,nan,nan,nan,nan,nan,nan,nan,nan,2.37,2.37,2.38,2.37,1345146.0
Omega Protein Corporation,11/6/17,D. Nevada,New York SE,OME, Food Processing, Consumer Non-Cyclical,nan,nan,nan,nan,nan,nan,nan,nan,21.9,21.9,21.95,21.9,385713.0
IXYS Corporation,11/3/17,N.D. California,NASDAQ,IXYS, Semiconductors, Technology,759158656.0,32935300.0,9.899,24.96,12.3,263089.0,24.13889,22.926070000000003,23.1,23.2,23.25,22.9,240991.0
"Novan, Inc.",11/3/17,M.D. North Carolina,NASDAQ,NOVN, Biotechnology & Drugs, Healthcare,86284808.0,25989400.0,0.325,8.19,2.823,102317.0,3.3292646,4.6793118,6.18,6.33,6.35,6.16,24723.0
"Vantiv, Inc.",11/3/17,S.D. Ohio,New York SE,VNTV, Business Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,68.75,68.84,69.1,68.58,1385804.0
Calgon Carbon Corporation,11/2/17,D. Delaware,New York SE,CCC, Chemical Manufacturing, Basic Materials,1087355392.0,50811000.0,8.068,22.1,12.0,1265893.0,21.325,19.545289999999998,21.85,21.8,21.9,21.6,1653173.0
General Electric Inc.,11/1/17,S.D. New York,New York SE,GE, Misc. Capital Goods, Capital Goods,125658000000.0,8672079872.0,7.4110000000000005,30.54,14.23,84550969.0,16.176470000000002,20.24971,20.07,20.02,20.52,19.96,91714426.0
"Bob Evans Farms, Inc.",10/31/17,D. Delaware,NASDAQ,BOBE, Restaurants, Services,1544042880.0,20049900.0,8.693999999999999,79.7,54.25,354074.0,77.03,74.83561999999999,77.22,77.19,77.25,77.18,381401.0
"Genocea Biosciences, Inc.",10/31/17,D. Massachusetts,NASDAQ,GNCA, Biotechnology & Drugs, Healthcare,83741904.0,82099904.0,-0.21100000000000002,7.29,0.7909999999999999,933483.0,0.97135293,2.0470362,1.19,1.16,1.21,1.15,768759.0
Ford Motor Company,10/30/17,E.D. Michigan,New York SE,F, Auto & Truck Manufacturers, Consumer Cyclical,42514841600.0,3902500096.0,8.781,13.48,10.19,44884667.0,11.497353,11.828261,12.01,12.1,12.15,11.95,36457435.0
"H.C. Wainwright and Co., LLC: MannKind Corporation Common Stock",10/30/17,C.D. California,NASDAQ,MNKD, Investment Services, Financial,361367840.0,118871000.0,-2.397,6.96,0.67,4045038.0,2.7011764,2.767826,3.37,3.43,3.55,3.37,4264663.0
Trivago N.V. : American Depository Shares,10/30/17,S.D. New York,NASDAQ,TRVG, Hotels & Motels, Services,2826771200.0,350716000.0,3.036,24.27,6.45,1414514.0,7.913823599999999,9.565471,7.5,7.42,7.65,7.4,1919804.0
"Onvia, Inc.",10/27/17,W.D. Washington,NASDAQ,ONVI, Business Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,9.0,9.0,9.0,9.0,496.0
"XBiotech, Inc.",10/26/17,W.D. Texas,NASDAQ,XBIT, Biotechnology & Drugs, Healthcare,169747056.0,35437800.0,1.895,20.18,2.77,101380.0,4.499411599999999,4.4038405,4.11,4.2,4.25,4.11,60125.0
